species	V0	V1	V2	V3	V4	V5	V6
Struthio_camelus	0.522	-0.651	NA	NA	NA	0.00009654962	NA  
Callipepla_californica	1.732	0.549	NA	NA	NA	0.000515858256595119	NA  
Meleagris_gallopavo	0.956	-0.045	NA	NA	NA	0.000358831916304796	NA
Larus_occidentalis	1.759	0.565	NA	NA	NA	0.000223106186640532	NA
Falco_sparverius	1.657	0.505	NA	NA	NA	0.000527139315842449	NA
Pyrrhura_molinae	1.845	0.612	NA	NA	NA	0.000488812018155735	NA
Aphelocoma_californica	1.560	0.445	NA	NA	NA	0.00021229252403951	NA
Haemorhous_mexicanus	1.807	0.592	NA	NA	NA	0.000500038117488998	NA
Dromaius_novaehollandiae	0.533	-0.630	NA	NA	NA	0.00008088538423423550	NA
Archaeopteryx_Munich_Specimen	NA	NA	NA	NA	NA	0.000114204386793916	NA
Ficedula_albicollis	7.905	2.067	NA	NA	NA	0.000284619686176352	NA
Phasianus_colchicus	1.007	0.007	NA	NA	NA	0.00000125691894424210	NA
Alligator_mississippiensis	0.040	-3.224	NA	NA	NA	0.0000209601	NA
Psittacosaurus_sibiricus	NA	NA	NA	NA	NA	0.00007802856	NA
